{'loss': 0.337, 'grad_norm': 2.084320068359375, 'learning_rate': 4.1844e-05, 'epoch': 0.82}
{'loss': 0.2794, 'grad_norm': 0.9787801504135132, 'learning_rate': 4.1764e-05, 'epoch': 0.82}
{'loss': 0.3017, 'grad_norm': 1.2361723184585571, 'learning_rate': 4.1684e-05, 'epoch': 0.83}
{'loss': 0.2681, 'grad_norm': 1.0237469673156738, 'learning_rate': 4.1604000000000004e-05, 'epoch': 0.84}
{'loss': 0.2378, 'grad_norm': 0.9128835797309875, 'learning_rate': 4.1524000000000004e-05, 'epoch': 0.85}
{'loss': 0.3072, 'grad_norm': 1.799774408340454, 'learning_rate': 4.1444e-05, 'epoch': 0.86}
{'loss': 0.2768, 'grad_norm': 1.3139123916625977, 'learning_rate': 4.1364000000000006e-05, 'epoch': 0.86}
{'loss': 0.2775, 'grad_norm': 1.3772704601287842, 'learning_rate': 4.1284e-05, 'epoch': 0.87}
{'loss': 0.2652, 'grad_norm': 1.2453022003173828, 'learning_rate': 4.1204e-05, 'epoch': 0.88}
{'loss': 0.2899, 'grad_norm': 2.2099571228027344, 'learning_rate': 4.1124e-05, 'epoch': 0.89}
{'loss': 0.2787, 'grad_norm': 1.7889567613601685, 'learning_rate': 4.1044e-05, 'epoch': 0.9}
{'loss': 0.3928, 'grad_norm': 2.082979679107666, 'learning_rate': 4.0964e-05, 'epoch': 0.9}
{'loss': 0.2599, 'grad_norm': 1.3599447011947632, 'learning_rate': 4.0884e-05, 'epoch': 0.91}
{'loss': 0.3018, 'grad_norm': 1.1505337953567505, 'learning_rate': 4.0804000000000004e-05, 'epoch': 0.92}
{'loss': 0.2951, 'grad_norm': 1.493981957435608, 'learning_rate': 4.0724e-05, 'epoch': 0.93}
{'loss': 0.2798, 'grad_norm': 1.155481219291687, 'learning_rate': 4.0644000000000006e-05, 'epoch': 0.94}
{'loss': 0.3343, 'grad_norm': 2.074212074279785, 'learning_rate': 4.0564e-05, 'epoch': 0.94}
{'loss': 0.2606, 'grad_norm': 1.3457064628601074, 'learning_rate': 4.0484e-05, 'epoch': 0.95}
{'loss': 0.2444, 'grad_norm': 1.2581216096878052, 'learning_rate': 4.0404e-05, 'epoch': 0.96}
{'loss': 0.3042, 'grad_norm': 1.5778236389160156, 'learning_rate': 4.0324e-05, 'epoch': 0.97}
{'loss': 0.2512, 'grad_norm': 2.396184206008911, 'learning_rate': 4.0244e-05, 'epoch': 0.98}
{'loss': 0.2606, 'grad_norm': 1.194455862045288, 'learning_rate': 4.0164000000000004e-05, 'epoch': 0.98}
{'loss': 0.2766, 'grad_norm': 1.4474904537200928, 'learning_rate': 4.0084e-05, 'epoch': 0.99}
{'loss': 0.2935, 'grad_norm': 1.1456608772277832, 'learning_rate': 4.0004000000000005e-05, 'epoch': 1.0}
{'loss': 0.2098, 'grad_norm': 1.361689567565918, 'learning_rate': 3.9924e-05, 'epoch': 1.01}
{'loss': 0.2115, 'grad_norm': 0.9211270213127136, 'learning_rate': 3.984400000000001e-05, 'epoch': 1.02}
{'loss': 0.2187, 'grad_norm': 1.5731948614120483, 'learning_rate': 3.9764e-05, 'epoch': 1.02}
{'loss': 0.1973, 'grad_norm': 0.945851743221283, 'learning_rate': 3.9684e-05, 'epoch': 1.03}
{'loss': 0.1986, 'grad_norm': 1.2069169282913208, 'learning_rate': 3.9604e-05, 'epoch': 1.04}
{'loss': 0.1954, 'grad_norm': 0.8380980491638184, 'learning_rate': 3.9524e-05, 'epoch': 1.05}
{'loss': 0.2145, 'grad_norm': 0.9906314015388489, 'learning_rate': 3.9444000000000004e-05, 'epoch': 1.06}
{'loss': 0.2046, 'grad_norm': 1.1561100482940674, 'learning_rate': 3.9364e-05, 'epoch': 1.06}
{'loss': 0.1955, 'grad_norm': 0.8673679828643799, 'learning_rate': 3.9284000000000005e-05, 'epoch': 1.07}
{'loss': 0.2307, 'grad_norm': 0.8993893265724182, 'learning_rate': 3.9204e-05, 'epoch': 1.08}
{'loss': 0.1925, 'grad_norm': 1.5875043869018555, 'learning_rate': 3.9124e-05, 'epoch': 1.09}
{'loss': 0.213, 'grad_norm': 2.2037460803985596, 'learning_rate': 3.9044e-05, 'epoch': 1.1}
